testMse:0.06176144,testPSNR:28.880821,mse:0.20913799,ema:0.21015787,time:44.14648559299987,frame:29000
testMse:0.06178102,testPSNR:28.879444,mse:0.21041684,ema:0.20999889,time:44.90629088599999,frame:29500
testMse:0.061622467,testPSNR:28.890606,mse:0.20968762,ema:0.21005529,time:45.66609185399992,frame:30000
testMse:0.061501104,testPSNR:28.899166,mse:0.21095742,ema:0.21026272,time:46.42596559599998,frame:30500
testMse:0.061456144,testPSNR:28.902342,mse:0.21102393,ema:0.21009141,time:47.18560675100004,frame:31000
testMse:0.061340146,testPSNR:28.910545,mse:0.2107127,ema:0.21057628,time:47.944961582000026,frame:31500
testMse:0.061334193,testPSNR:28.91097,mse:0.21196945,ema:0.2108379,time:48.70510240700001,frame:32000
testMse:0.061253317,testPSNR:28.9167,mse:0.20602506,ema:0.2096174,time:49.46470767299994,frame:32500
testMse:0.0611548,testPSNR:28.92369,mse:0.20955533,ema:0.21003301,time:50.22423408199993,frame:33000
testMse:0.061105773,testPSNR:28.927174,mse:0.20958641,ema:0.20995471,time:50.98576743299994,frame:33500
testMse:0.06102357,testPSNR:28.93302,mse:0.21132042,ema:0.21029575,time:51.74938625399998,frame:34000
testMse:0.061104227,testPSNR:28.927284,mse:0.20953357,ema:0.2096222,time:52.50962578099999,frame:34500
testMse:0.060894895,testPSNR:28.942186,mse:0.20926385,ema:0.20996757,time:53.270014234999906,frame:35000
testMse:0.060848717,testPSNR:28.945482,mse:0.21174534,ema:0.21049756,time:54.03030744499988,frame:35500
testMse:0.06076086,testPSNR:28.951757,mse:0.20913632,ema:0.2103312,time:54.79048321299989,frame:36000
testMse:0.060730662,testPSNR:28.953915,mse:0.20696528,ema:0.20970793,time:55.55042567299989,frame:36500
testMse:0.060686026,testPSNR:28.95711,mse:0.21078381,ema:0.21084014,time:56.310686868999944,frame:37000
testMse:0.06069788,testPSNR:28.95626,mse:0.2115474,ema:0.2103004,time:57.070719492999885,frame:37500
testMse:0.060575675,testPSNR:28.965014,mse:0.21282357,ema:0.21052773,time:57.83108736299995,frame:38000
testMse:0.06061445,testPSNR:28.962233,mse:0.20712866,ema:0.20923238,time:58.59135682699994,frame:38500
testMse:0.06054477,testPSNR:28.96723,mse:0.21090615,ema:0.2101572,time:59.35146424399984,frame:39000
testMse:0.060507994,testPSNR:28.969868,mse:0.2093289,ema:0.21051066,time:60.11162619099986,frame:39500
testMse:0.06058691,testPSNR:28.964207,mse:0.21140394,ema:0.21061216,time:60.8720492849999,frame:40000
testMse:0.060488056,testPSNR:28.9713,mse:0.20979726,ema:0.2099541,time:61.632409960999944,frame:40500
testMse:0.06045813,testPSNR:28.973448,mse:0.21185784,ema:0.21045911,time:62.39218166,frame:41000
testMse:0.060416255,testPSNR:28.976458,mse:0.21372321,ema:0.21121727,time:63.152286608000004,frame:41500
testMse:0.0603987,testPSNR:28.97772,mse:0.21083717,ema:0.21071213,time:63.91231854800004,frame:42000
testMse:0.060339037,testPSNR:28.982012,mse:0.20837522,ema:0.20996931,time:64.67253269,frame:42500
