gt_L_r,gt_L_g,gt_L_b,gt_T_r,gt_T_g,gt_T_b,pred_L_r,pred_L_g,pred_L_b,pred_T_r,pred_T_g,pred_T_b
0,0,0,1,0.933267,0.885239,0,0,0,0.993537,0.890103,0.669853
0,0,0,0.992683,0.930615,1,0,0,0,0.999991,0.922622,0.672439
0,0,0,1,0.946106,1,0,0,0,1,0.967225,0.750553
0,0,0,1,0.945024,1,0,0,0,0.998988,0.952574,0.715026
0,0,0,0,0,0,0,0,0,0.999304,0.94366,0.731059
0,0,0,0.981157,0.94523,1,0,0,0,0.999999,0.965512,0.74055
0,0,0,0.993977,0.912705,1,0,0,0,1,0.942929,0.685844
0,0,0,1,0.934789,1,0,0,0,1,0.957118,0.708313
0,0,0,0,0,0,0,0,0,0.889912,0.859782,0.685107
0,0,0,1,0.969209,0.588424,0,0,0,0.999695,0.945197,0.741861
0,0,0,0,0,0,0,0,0,0.939248,0.919063,0.741674
0,0,0,0.99325,0.919901,1,0,0,0,1,0.964656,0.741487
0,0,0,1,0.933265,0.883865,0,0,0,0.999999,0.938576,0.688154
0,0,0,1,0.919912,1,0,0,0,0.999998,0.936052,0.699562
0,0,0,1,1,0.266705,0,0,0,0.999998,0.93744,0.68215
0,0,0,1,0.933815,0.879738,0,0,0,0.999933,0.930962,0.688783
0,0,0,1,0.982142,0.211596,0,0,0,0.999995,0.963643,0.718496
0,0,0,1,0.940263,1,0,0,0,1,0.958069,0.742795
0,0,0,1,0.998516,0.231736,0,0,0,0.992568,0.899828,0.696165
0,0,0,1,0.935726,0.699706,0,0,0,0.999965,0.925095,0.680348
0,0,0,0,0,0,0,0,0,0.771499,0.740737,0.546012
0,0,0,0.969261,0.936639,1,0,0,0,0.999917,0.955319,0.733738
0,0,0,1,0.944807,1,0,0,0,0.998968,0.957437,0.731826
0,0,0,1,0.939644,0.617018,0,0,0,0.996984,0.967225,0.774071
0,0,0,1,0.998407,0.210828,0,0,0,1,0.941007,0.687945
0,0,0,1,0.944696,0.430505,0,0,0,0.999997,0.953275,0.731442
0,0,0,1,0.979315,0.382924,0,0,0,0.999839,0.954478,0.746693
0,0,0,1,0.933268,0.884084,0,0,0,0.999857,0.97458,0.761184
0,0,0,0.996012,0.922195,1,0,0,0,0.999932,0.930711,0.689201
0,0,0,1,0.933986,0.833243,0,0,0,0.999715,0.952926,0.706899
0,0,0,1,0.936666,0.498222,0,0,0,0.999997,0.958693,0.710628
0,0,0,1,0.960674,0.204483,0,0,0,0.972571,0.950869,0.785638
0,0,0,1,0.949357,1,0,0,0,0.999867,0.917893,0.678753
0,0,0,1,0.942307,1,0,0,0,0.999998,0.937555,0.681091
0,0,0,1,0.980175,0.279294,0,0,0,1,0.97539,0.722429
0,0,0,0.970907,0.941225,1,0,0,0,0.823896,0.796925,0.612194
0,0,0,1,0.948997,1,0,0,0,1,0.961893,0.737347
0,0,0,1,0.946594,1,0,0,0,0.999978,0.957755,0.733738
0,0,0,1,0.937881,1,0,0,0,0.999525,0.910545,0.679923
0,0,0,0.995085,0.921897,1,0,0,0,0.999999,0.942612,0.704262
0,0,0,1,0.934744,0.79137,0,0,0,0.999997,0.955651,0.739422
0,0,0,0,0,0,0,0,0,1,0.950778,0.722527
0,0,0,1,0.94939,1,0,0,0,0.962673,0.934634,0.784814
0,0,0,1,0.946034,0.33723,0,0,0,0.999991,0.949106,0.702938
0.000816727,9.29828e-06,0,1,0.976965,0.204279,0,0,0,0.962813,0.9271,0.716219
0,0,0,1,0.937948,1,0,0,0,0.999994,0.94428,0.707405
0,0,0,0,0,0,0,0,0,0.943867,0.923868,0.743168
0,0,0,1,0.961061,0.262808,0,0,0,1,0.942612,0.692434
0,0,0,1,0.963382,0.242432,0,0,0,0.955402,0.92373,0.736021
0,0,0,1,0.931891,1,0,0,0,0.959001,0.921781,0.722135
0,0,0,0.995302,0.909329,1,0,0,0,0.999999,0.956309,0.734501
0,0,0,1,0.938423,0.658345,0,0,0,1,0.966092,0.738292
0,0,0,1,0.957171,1,0,0,0,0.984155,0.966663,0.788909
0,0,0,0.970756,0.975326,0.77184,0,0,0,0.999996,0.949201,0.709019
0,0,0,1,0.94111,1,0,0,0,0.999986,0.950227,0.7237
0,0,0,1,0.968325,0.212645,0,0,0,0.999999,0.940134,0.686895
0,0,0,1,0.945477,0.92556,0,0,0,1,0.952838,0.700485
0,0,0,0.993687,0.95024,0.853296,0,0,0,1,0.946794,0.710126
0,0,0,0,0,0,0,0,0,0.81772,0.784319,0.58053
0,0,0,1,0.95466,1,0,0,0,1,0.968201,0.73659
0,0,0,0,0,0,0,0,0,0.999999,0.932083,0.678753
0,0,0,0,0,0,0,0,0,0.901748,0.840259,0.654343
0,0,0,1,0.933806,1,0,0,0,0.998352,0.967039,0.788257
0,0,0,1,0.935294,1,0,0,0,0.999999,0.975901,0.724773
0,0,0,1,0.933455,0.981576,0,0,0,0.754373,0.708213,0.496367
0,0,0,0,0,0,0,0,0,0.999987,0.938801,0.698124
0,0,0,0,0,0,0,0,0,0.999999,0.955068,0.73848
0,0,0,1,0.970859,0.200164,0,0,0,0.999993,0.96856,0.738858
0,0,0,1,0.948017,0.464034,0,0,0,1,0.96622,0.727492
0,0,0,1,0.961258,0.263291,0,0,0,0.967163,0.942823,0.778481
0,0,0,0,0,0,0,0,0,0.881207,0.830732,0.637369
0,0,0,1,0.95572,1,0,0,0,0.999995,0.956309,0.730674
0,0,0,1,0.941882,0.537186,0,0,0,1,0.945298,0.695441
0,0,0,1,0.946914,0.499685,0,0,0,0.814496,0.777638,0.571826
0,0,0,1,0.963612,0.242987,0,0,0,1,0.973645,0.732974
0,0,0,1,0.979324,0.382202,0,0,0,0.99999,0.958924,0.731634
0,0,0,1,0.93345,0.982008,0,0,0,0.999992,0.926037,0.678647
0,0,0,1,0.940284,1,0,0,0,1,0.963984,0.728265
0,0,0,1,0.980408,0.408437,0,0,0,1,0.956472,0.700178
0,0,0,0,0,0,0,0,0,0.937897,0.914749,0.73659
0,0,0,1,0.927817,1,0,0,0,0.99438,0.988403,0.876529
0,0,0,1,0.957325,1,0,0,0,0.99999,0.934515,0.686265
0.025922,0.00293313,0,0,0,0,0,0,0,0.785802,0.752377,0.572544
0,0,0,0.991202,0.936566,1,0,0,0,0.99999,0.949106,0.739799
0,0,0,1,0.969284,0.587213,0,0,0,0.996827,0.979315,0.816699
0,0,0,1,0.923928,1,0,0,0,0.999998,0.949856,0.728845
0,0,0,1,0.98005,0.325441,0,0,0,0.999959,0.922343,0.674587
0,0,0,1,0.978577,0.194381,0,0,0,1,0.956634,0.703855
0,0,0,0,0,0,0,0,0,0.999992,0.941975,0.700997
0,0,0,0,0,0,0,0,0,0.890103,0.85753,0.678114
0,0,0,1,0.980716,0.207175,0,0,0,0.999376,0.916409,0.689933
0,0,0,1,0.948537,1,0,0,0,0.999987,0.966789,0.704465
0,0,0,1,0.994342,0.201852,0,0,0,1,0.959154,0.737725
0,0,0,1,0.96644,0.225075,0,0,0,0.987568,0.965053,0.817429
0,0,0,0,0,0,0,0,0,0.999992,0.938011,0.696784
0,0,0,1,0.942071,1,0,0,0,0.79053,0.7478,0.54695
0,0,0,1,0.972345,0.202222,0,0,0,1,0.968081,0.714927
0,0,0,0.994559,0.921727,1,0,0,0,1,0.946001,0.708515
0,0,0,1,0.998116,0.370178,0,0,0,0.941331,0.924142,0.720073
0,0,0,0,0,0,0,0,0,0.822046,0.794066,0.601945
0,0,0,1,0.936373,0.499238,0,0,0,1,0.960584,0.721449
0,0,0,1,0.933312,0.574822,0,0,0,1,0.977457,0.740925
0,0,0,1,0.938598,0.660168,0,0,0,0.999998,0.971939,0.756537
0,0,0,1,0.928177,1,0,0,0,1,0.96796,0.740737
0,0,0,1,0.980184,0.279446,0,0,0,1,0.954984,0.712732
0,0,0,1,0.949434,1,0,0,0,0.999994,0.9633,0.727007
0,0,0,1,0.94179,0.53665,0,0,0,1,0.964722,0.745213
0,0,0,1,0.944121,1,0,0,0,0.999986,0.973993,0.754915
0,0,0,1,0.941942,1,0,0,0,1,0.967899,0.743727
0,0,0,0,0,0,0,0,0,0.999999,0.930711,0.677687
0,0,0,1,0.935654,0.698689,0,0,0,0.973443,0.947769,0.749637
0,0,0,0.987284,0.997067,0.441458,0,0,0,0.921499,0.878419,0.706697
0,0,0,0.962445,0.948943,1,0,0,0,0.996676,0.968679,0.808521
0,0,0,1,0.922009,1,0,0,0,1,0.969843,0.725551
0,0,0,0.991324,0.916612,1,0,0,0,1,0.948632,0.689724
0,0,0,1,0.95482,1,0,0,0,0.999998,0.976891,0.73412
0,0,0,0,0,0,0,0,0,0.861305,0.827967,0.6508
0,0,0,1,0.939454,0.615379,0,0,0,0.999989,0.931338,0.682045
0,0,0,0,0,0,0,0,0,0.929055,0.868938,0.69368
0,0,0,1,0.936223,0.396253,0,0,0,0.885829,0.820182,0.650911
0,0,0,1,0.977793,0.487386,0,0,0,1,0.968441,0.723114
0.00179404,0.000253884,0,0,0,0,0,0,0,0.818011,0.784979,0.613352
0,0,0,0,0,0,0,0,0,0.89275,0.865679,0.665519
0,0,0,1,0.950899,1,0,0,0,0.999726,0.952486,0.737536
0,0,0,1,0.98414,0.254524,0,0,0,1,0.975343,0.71602
0,0,0,1,0.944798,1,0,0,0,0.909747,0.857649,0.684475
